,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
514,,ASOCIACION DE EMPLEADOS DEL GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DEL CAAR,
515,,ASOCIACION DE EMPLEADOS DEL H. CONSEJO PROVINCIAL DE BOLIVAR,
516,,ASOCIACION DE EMPLEADOS DEL HOSPITAL DEL NIO DR FRANCISCO DE ICAZA BUSTAMANTE,
517,,ASOCIACION DE EMPLEADOS DEL MINISTERIO DE GOBIERNO,
518,,ASOCIACION DE ENFERMERAS DEL HOSPITAL FRANCISCO DE ICAZA BUSTAMANTE,
519,,ASOCIACION DE FOTOGRAFOS ECUATORIANOS,
520,,ASOCIACION DE FUNCIONARIOS DE SERVICIO EXTERIOR ECUATORIANO,
521,,ASOCIACION DE FUNCIONARIOS Y EMPLEADOS DEL SERVICIO EXTERIOR,
522,,ASOCIACION DE GANADEROS DEL CANTON EL CARMEN,
523,,ASOCIACION DE GANADEROS RIO CHONE,
524,,ASOCIACION DE GUIAS PRESTADORES DE SERVICIOS TURISTICOS,
525,,ASOCIACION DE HOMBRES PROFESIONALES Y DE NEGOCIOS CRITIANOS LOS GEDEONES INTERNACIONALES,
526,,ASOCIACION DE JUNTAS PARROQUIALES DE MANABI,
527,,ASOCIACION DE LIMPIEZA LUZ DE LA FRONTERA,
528,,ASOCIACION DE MANTENIMIENTO Y CONSERVACION VIAL,
529,,ASOCIACION DE MARISCADORES AUTONOMOS 19 DE OCTUBRE,
530,,ASOCIACION DE MARISCADORES AUTONOMOS Y ANEXOS 11 DE ENERO,
531,,ASOCIACION DE MARISCADORES Y AUTONOMOS AFINES LOS ISLEOS,
532,,ASOCIACION DE MARISCADORES Y AUTONOMOS Y AFINES LOS ISLENOS LOS ISLENOS,
533,,ASOCIACION DE MEDICOS RESIDENTES DEL HOSPITAL FRANCISCO DE ICAZA BUSTAMANTE,
534,,ASOCIACION DE MEDICOS TRATANTES DEL HOSPITAL FRANCISCO DE ICAZA BUSTAMANTE,
535,,ASOCIACION DE MEDICOS Y PROFECIONALES,
536,,ASOCIACION DE MIGRANTES PERU - MUNDO,
537,,ASOCIACION DE MILITARES NUEVA VISION F.A,
538,,ASOCIACION DE MOTOCICLISMO DE PICHINCHA - FUNDACION TRIADA,
539,,ASOCIACION DE MUJERES ARTESANAS ESTERO PORTEÑO,
540,,ASOCIACION DE MUJERES EMPRENDEDORAS LIMPIAHOGAR ASOLIMPIA,
541,,ASOCIACION DE MUJERES LUCHADORAS DEL SACHA,
542,,ASOCIACION DE MUJERES LUZ DEL MAÑANA,
543,,ASOCIACION DE MUNICIPALIDADES DEL ECUADOR REGION 3 RIOBAMBA,
544,,ASOCIACION DE MUNICIPALIDADES ECUATORIANAS,
545,,ASOCIACION DE PEQUEÑOS AGRICULTORES SAN MIGUEL DE URCUQUI,
546,,ASOCIACION DE PEQUEÑOS COMERCIANTES DE MARISCOS DE PEDERNALES,
547,,ASOCIACION DE PEQUEÑOS EXPORTADORES AGROPECUARIOS ORGANICOS DEL SUR DE LA AMAZONIA ECUATORIANA,
548,,ASOCIACION DE PEQUEOS PRODUCTORES DE BANANO ORGANICO DEL GUABO,
549,,ASOCIACION DE PESCADORES ARTESANALES MAR DE GALILEA ASPAMAG,
550,,ASOCIACION DE PESCADORES ARTESANALES,
551,,ASOCIACION DE PESCADORES MARISCADORES Y ANEXOS ISLA BELLAVISTA,
552,,ASOCIACION DE PESCADORES Y MARISCADORES ARTESANALES Y AFINES LOS PRECIADOS,
553,,ASOCIACION DE PROCESAMIENTO ARTESANAL DE PRODUCTOS PRIMARIOS LAS FLORES,
554,,ASOCIACION DE PRODUCCION AGRICOLA JARDIN BOTANICO,
555,,ASOCIACION DE PRODUCCION AGRICOLA PRODUCCION Y VIDA,
556,,ASOCIACION DE PRODUCCION AGROPECUARIA N' GRAN MAIZ DE ORO,
557,,ASOCIACION DE PRODUCCION AGROPECUARIA NUEVO PAILITAS,
558,,ASOCIACION DE PRODUCCION AGROPECUARIA ORGANICA,
559,,ASOCIACION DE PRODUCCION AGROPECUARIA PISACA,
560,,ASOCIACION DE PRODUCCION AGROPECUARIA SEVILLA DE ORO,
561,,ASOCIACION DE PRODUCCION AGROPECUARIA VALLE DE JAMBOE,
562,,ASOCIACION DE PRODUCCION AGROPECUARIA VIRGEN DE CHAPINTZA,
563,,ASOCIACION DE PRODUCCION ALIMENTICIA 8 DE MARZO,
564,,ASOCIACION DE PRODUCCION ALIMENTICIA ABEJA NATIVA CATANA,
565,,ASOCIACION DE PRODUCCION APIARIA LAS PAMPAS,
566,,ASOCIACION DE PRODUCCION DE DERIVADOS DEL MANI Y OTROS TIO JULIAN,
567,,ASOCIACION DE PRODUCCION MANOS DECORATIVAS,
568,,ASOCIACION DE PRODUCCION MERCADEO E INDUSTRIALIZACION DEL CACAO EL PROGRESO,
569,,ASOCIACION DE PRODUCCION PESQUERA ARTESANAL DEFENSORES DEL MANGLAR,
570,,ASOCIACION DE PRODUCCION PESQUERA ARTESANAL Y AFINES SAN ANTONIO,
571,,ASOCIACION DE PRODUCCION PESQUERA PUERTO ANCONCITO,
572,,ASOCIACION DE PRODUCCION PESQUERA VIRGEN DEL CISNE ASPESVIRCI,
573,,ASOCIACION DE PRODUCCION TEXTIL CONFECCION EL BUEN VESTIR,
574,,ASOCIACION DE PRODUCCION TEXTIL DISEÑOS MIL,
575,,ASOCIACION DE PRODUCCION TEXTIL JOVENES EMPRENDEDORES EN LA MODA,
576,,ASOCIACION DE PRODUCCION TEXTIL LA ESPERANZA,
577,,ASOCIACION DE PRODUCCION TEXTIL MANOS UNIDAS DE NAPO,
578,,ASOCIACION DE PRODUCCION TEXTIL MARIA DEL CISNE,
579,,ASOCIACION DE PRODUCCION TEXTIL MUJERES JAMA,
580,,ASOCIACION DE PRODUCCION TEXTIL MUJERES SIEMPRE UNIDAS,
581,,ASOCIACION DE PRODUCCION TEXTIL TORRES,
582,,ASOCIACION DE PRODUCCION TEXTIL UNIDOS TRIUNFAREMOS,
583,,ASOCIACION DE PRODUCCION TEXTIL VALLE HERMOSO,
584,,ASOCIACION DE PRODUCTORES AGRICOLAS SEMBRANDO EL FUTURO,
585,,ASOCIACION DE PRODUCTORES AGRO ARTESANALES LA TEMBLADERA ASOGROTEM,
586,,ASOCIACIÒN DE PRODUCTORES AGROCOLOGICOS SUMAK MIKUNA,
587,,ASOCIACION DE PRODUCTORES AGROFORESTALES EL TUNDO,
588,,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA VEGA,
589,,ASOCIACION DE PRODUCTORES AGROPECUARIOS SEMILLAS DEL PROGRESO,
590,,ASOCIACION DE PRODUCTORES AGROPECUARIOS SUR OESTE VERDE,
591,,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y APICOLAS DEL CANTON CALVAS.,
592,,ASOCIACION DE PRODUCTORES CON PROPOSITO DE VIDA ASOPROVIDA.,
593,,ASOCIACION DE PRODUCTORES CON UN PROPOSITO DE VIDA,
594,,ASOCIACION DE PRODUCTORES Y COMERCIALIZADORES AGOECOLOGICOS DE GUALAQUIZA,
595,,ASOCIACION DE PROFESIONALES DE GESTION DE RIESGOS DEL ECUADOR,
596,,ASOCIACION DE PROFESIONALES DEL HOSPITAL GUAYAQUIL DR ABEL GILBERT PONTON,
597,,ASOCIACION DE PROFESORES DE LA UTPL,
598,,ASOCIACION DE RECOLECTOREAS DE MARISCOS Y AFINES 24 DE OCTUBRE ARMA,
599,,ASOCIACION DE SERVICIO DE LIMPIEZA FRUTA NORTE,
600,,ASOCIACION DE SERVICIO DE LIMPIEZA KINTIA PANTIA CASCADAS - ASOSERKINPAN,
601,,ASOCIACION DE SERVICIOS COMPLEMENTARIOS DE INMIGRANTES CHINCHIPENSES,
602,,ASOCIACION DE SERVICIOS DE ALIMENTACION CATERING EL SABOR TOCASENSE,
603,,ASOCIACION DE SERVICIOS DE ALIMENTACION LAGO AGRIO UNIDO,
604,,ASOCIACION DE SERVICIOS DE ASESORIA DESARROLLANDO FUTURO ASOFUTURO,
605,,ASOCIACION DE SERVICIOS DE CAPACITACION DE ESCOLTAS PROFESIONALES ASEP,
606,,ASOCIACION DE SERVICIOS DE LIMPIEZA AROMA ECOLOGICO .,
607,,ASOCIACION DE SERVICIOS DE LIMPIEZA CRISTO Y MARIA ASOSERLIMCRIS,
608,,ASOCIACION DE SERVICIOS DE LIMPIEZA EL ORO ASOSERLIORO,
609,,ASOCIACION DE SERVICIOS DE LIMPIEZA KIWNI SUMAK QUITO LINDO ASOSERLIMKIWNI,
610,,ASOCIACION DE SERVICIOS DE LIMPIEZA TODO FRAGANTE.,
611,,ASOCIACION DE SERVICIOS DE LIMPIEZA VERDEPAZ,
612,,ASOCIACION DE SERVICIOS DE LIMPIEZA Y MANTENIMIENTO JOYA DE LOS SACHAS,
613,,ASOCIACION DE SERVICIOS DE LIMPIEZA24 DE OCTUBRE,
614,,ASOCIACION DE SERVICIOS DE MANTENIMIENTO BRISAS DEL RIO DUE,
615,,ASOCIACION DE SERVICIOS DE MENSAJERIA CHASKI EXPRESS ENTREGA INMEDIATA,
616,,ASOCIACION DE SERVICIOS LIMPIEZA RAPIDA DE NANGARITZA,
617,,ASOCIACION DE SERVICIOS TURISTICOS SACHA WAYSA,
618,,ASOCIACION DE SERVIDORES DE LA DIRECCION REGIONAL 4 DE LA CONTRALORIA GENERAL DEL ESTADO,
619,,ASOCIACION DE SERVIDORES JUDICIALES DE PICHINCHA,
620,,ASOCIACION DE SERVIDORES PUBLICOS DE LA PROCURADURIA GENERAL DEL ESTADO,
621,,ASOCIACION DE SERVIDORES PUBLICOS DEL GOBIERNO AUTONOMO DESCENTRALIZADO DE RUMIAHUI,
622,,ASOCIACION DE SERVIDORES Y SERVIDORAS DE LA CORTE CONSTITUCIONAL,
623,,ASOCIACION DE TECNOLOGOS MEDICOS DR FRANCISCO DE ICAZA BUSTAMANTE DEL HOSPITAL DEL NIO,
624,,ASOCIACION DE TELEVISION EDUCATIVA IBEROAMERICANA,
625,,ASOCIACION DE TRABAJADORES AGRICOLAS AUTONOMOS 5 DE JUNIO,
626,,ASOCIACION DEL PERSONAL ADMINISTRATIVO Y DE SERVICIO DE LA UTPL,
627,,ASOCIACION ECOLOGICA DE PRODUCTORES ARTESANALES DE COLAISACA ASEPAC,
628,,ASOCIACION ECUATORIANA DE AGENCIAS DE CARGA Y LOGISTICA INTERNACIONAL-ASEACI,
629,,ASOCIACION ECUATORIANA DE EDITORES DE PERIODICOS,
630,,ASOCIACION ECUATORIANA DE MARKETING Y COMUNICACION,
631,,ASOCIACION ECUATORIANA DE PADRES DE NIÑOS NIÑAS Y ADOLESCENTES CON CANCER - ASONIC,
632,,ASOCIACION FE ALEGRIA,
633,,ASOCIACION FE Y ALEGRIA-ECUADOR,
634,,ASOCIACION IBEROAMERICANA DE EDUCACION SUPERIOR A DISTANCIA AIESAD,
635,,ASOCIACION INTERPROFESIONAL DE ARTESANOS DEL CANTON MARCABELI,
636,,ASOCIACION KASAK,
637,,ASOCIACION MARIFAISA BARRAZUETA,
638,,ASOCIACION MUJERES FORMANDO UN FUTURO,
639,,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVENDA IMBABURA,
640,,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,
641,,ASOCIACION NACIONAL DE PRODUCTORES Y O EXPORTADORES DE FLORES DEL ECUADOR EXPOFLORES,
642,,ASOCIACION NACIONAL DE SERVIDORES DE LA CONTRALORIA GENERAL DEL ESTADO,
643,,ASOCIACION PROCOE,
644,,ASOCIACION SOLIDARISTA PROFUTURO,
645,,ASOCIACION UNICA DE PERSONAS CON DISCAPACIDAD DEL CANTON ATAHUALPA,
646,,ASOCIASION ECUATORIANO ALEMANA DE CULTURA Y EDUCACION,
647,,ASOCION DE PRODUCCION TEXTIL CREATIVAS LOS ENCUENTROS,
648,,ASOGOPARZA CH,
649,,ASOPROMIN S.A.,
650,,ASOSERLIPAR,
651,,ASOSIACION DE PRODUCTORES DE CACAO FINO DE AROMA DE CARLOS JULIO AROSEMENA,
652,,ASOSIACION DE SERVICIOS DE ALIMENTACION MUJERES DEL BUEN SABOR ASOBUENSA,
653,,ASOTMAM,
654,,ASSA SANCHEZ PRISCILA,
655,,ASSCC,
656,,ASSOCIAZIONE INTERNAZIONA AMGEL'S,
657,,ASSOCIAZIONE INTERNAZIONALE ANGELS,
658,,ASTIMEC S.A,
659,,ASTRALEGATL CIA. LTDA.,
660,,ASTRIBCOM,
661,,ASTUDILLO RUILOVA ERIKA VANESSA,
662,,ATALIAN SERVEST GROUP,
663,,ATC ASESORES TRIBUTARIOS,
664,,ATECO ASESORES TECNICOS CORREDORES AGENCIA ASESORA PRODUCTORA DE SEGUROSS.A.,
665,,ATECO S.A,
666,,ATENEA SOLUCIONES,
667,,ATIXX,
668,,ATLANTICA (PORTUGAL),
669,,ATLETA,
670,,ATU ARTICULOS DE ACERO SA,
671,,ATU INTERNACIONAL,
672,,ATYCO ASESORES TRIBUTARIOS Y CONTABLES,
673,,AUCACAMA ARIAS SILVIA ALEXANDRA,
674,,AUCORP,
675,,AUDICONT,
676,,AUDIOAUTO S.A.,
677,,AUDIOELEC S.A.,
678,,AUDIT & COMPLIANCECONSULTORES CIA.LTDA,
679,,AUDITING TAXES CIA.LTDA,
680,,AUDITORES CONTABLES CONSULTORES ENRIQUETA SARMIENTO ACCESCONT CIA. LTDA,
681,,AUDITORES EXTERNOS ALONZO CENTENO Y ASOCIADOS AUDEXTAC CIA.LTDA,
682,,AUDITORIA,
683,,AUDITSOLVER CONTADORES Y AUDITORES CIA. LTDA,
684,,AUDITWORLD ECUADOR CIA. LTDA.,
685,,AUDYCONT CIA LTDA,
686,,AUIP,
687,,AURELIAN ECUADOR S.A.,
688,,AURELIO ANAZCO BALCAZAR (FUNERARIA ALAMOR),
689,,AURORA FILMS,
690,,AUSTRALIA,
691,,AUSTRALIA-LATIN AMERICA SKILLS DEVELOPMENT PTY LTD - ALATA,
692,,AUSTROMAR SA,
693,,AUSTROOUIMICOS,
694,,AUSTTEL TELECOMUNICACIONES DEL AUSTRO.,
695,,AUTOCOMERCIO ASTUDILLO COMPAÑIA LIMITADA,
696,,AUTOMOTORES CONTINENTAL S.A.,
697,,AUTOMOTORES DE LA SIERRA- ASSA,
698,,AUTOMOTORES QUITO,
699,,AUTOMOVIL CLUB DEL ECUADOR ANETA,
700,,AUTONOMO DESCENTRALIZADO PARROQUIAL MILAGROS DEL CANTON PINDAL,
701,,AUTOREPUESTOS LIDERSAN,
702,,AUTOREPUESTOS SAM,
703,,AUTORIDAD PORTUARIA DE ESMERALDAS,
704,,AUTOSERVICIOS UGARTE UGARTE AUTOSUGAR SA,
705,,AUTOSTOCK,
706,,AVEGRANPG CIA.LTDA.,
707,,AVETUR,
708,,AVIANCA - ECUADOR S.A.,
709,,AVICOLA AREVALO ZAMBRANO,
710,,AVICOLA FELMARCRIG SA,
711,,AVICOLA GALVAN HERMANOS,
712,,AVICOLA GRAND POLLO,
713,,AVICOLA MI BUEN POLLO,
714,,AVICOLA SAN ISIDRO S.A AVISID,
715,,AVILA PINCAY KAREN ANABEL,
716,,AVILA SALINAS WILFRIDO,
717,,AVILA VELASCO LAURA MERCEDES,
718,,AVILAINCOA CIA. LTDA.,
719,,AVIS RENTA CAR,
720,,AVON ECUADOR,
721,,AVP SISTEMAS S.A.,
722,,AVS,
723,,AVS INGENIERIA,
724,,AXXISCAN,
725,,AYALA ARAUJO WILMAN WADY,
726,,AYALA ASOCIADOS AUDITCONTSA CIA. LTDA.,
727,,AYALA ROMERO IVAN ALEXANDER,
728,,AYAR CONSTRUCCIONES,
729,,AZ MAX FABRICIO,
730,,AZCLICK,
731,,B I MOT 39 MAYOR GALO MOLINA,
732,,B.BRAUN MEDICAL S.A.,
733,,BAAN USA. INC.,
734,,BABIN CLAIRE VAIMITI LUCIE MARIA,
735,,BABSON COLLEGE,
736,,BABSON COLLEGE: BABSON COLLABORATIVE FOR ENTREPRENEURSHIP EDUCATION,
737,,BABSON EXECUTIVE EDUCATION DIVISION,
738,,BAC S.A. DEL ECUADOR,
739,,BAC SA,
740,,BACALSA LEGAL GROUP - ESTUDIO JURIDICO,
741,,BAKER HUGHES,
742,,BAKER HUGHES A GE COMPANY,
743,,BALCAZAR ARCINIEGAS CRISTIAN ANDRE,
744,,BALNEARIOS DURAN S.A.,
745,,BANARIEGO CIA. LTDA.,
746,,BANCO AMAZONAS,
747,,BANCO BANECUADOR,
748,,BANCO BOLIVARIANO C.A,
749,,BANCO CAPITAL,
750,,BANCO CENTRAL DEL ECUADOR,
751,,BANCO CENTRAL DEL ECUADOR SUCURSAL CUENCA,
752,,BANCO CODESARROLLO,
753,,BANCO COMERCIAL DE MANABI S.A.,
754,,BANCO D-MIRO S.A,
755,,BANCO DE ALIMENTOS DE LA ARQUIDIOCESIS DE CUENCA,
756,,BANCO DE ALIMENTOS DIAKONIA,
757,,BANCO DE DESARROLLO DEL ECUADOR,
758,,BANCO DE GUAYAQUIL S.A.,
759,,BANCO DE LA PRODUCCION S.A. PRODUBANCO,
760,,BANCO DE LOJA,
761,,BANCO DE MACHALA,
762,,BANCO DEL AUSTRO,
763,,BANCO DEL ESTADO,
764,,BANCO DEL PACIFICO S.A.,
765,,BANCO DESARROLLO DE LOS PUEBLOS S.A. CODESARROLLO,
766,,BANCO DINERS CLUB DEL ECUADOR S.A.,
767,,BANCO ECUATORIANO DE LA VIVIENDA REGIONAL PORTOVIEJO,
768,,BANCO GRAMEEN,
769,,BANCO GUAYAQUIL S.A,
770,,BANCO INTERAMERICANO DE DESARROLLO,
771,,BANCO INTERNACIONAL S.A.,
772,,BANCO LA PRODUCCION PRODUBANCO S. A,
773,,BANCO MUNDIAL,
774,,BANCO NACIONAL DE FOMENTO,
775,,BANCO PICHINCHA,
776,,BANCO PICHINCHA S.A.,
777,,BANCO PROCREDIT SA,
778,,BANCO PROMERICA SA,
779,,BANCO SOLIDARIO,
780,,BANCO SOLIDARIO S.A,
781,,BANCO UNIVERSAL SA,
782,,BANECUADOR AGENCIA CANTONAL NANGARITZA,
783,,BANECUADOR B.P,
784,,BANECUADOR B.P. - AGENCIA CANTONAL CELICA,
785,,BANECUADOR B.P. AG. CANTONAL CATACOCHA,
786,,BAR RAVE ROOF TOP,
787,,BAR RESTAURANTE MIMOSA GRILL,
788,,BARATZ,
789,,BARBA TELLEZ MARIA NELA,
790,,BARCELONA SPORTING CLUB,
791,,BARRAGAN LUCAS GLADYS NATALIA,
792,,BARRERA CUPACAN JENNY ELIZABETH,
793,,BARRERA TOVALINO JOSE,
794,,BARRERASA S A,
795,,BARRIGA GUISHA VERONICA ELIZABETH,
796,,BARRIGA YBARRIGA ASOCIADOS,
797,,BASE AEREA COTOPAXI FAE,
798,,BASE NAVAL NORTE,
799,,BASESURCORP,
800,,BASTIDAS MEDRANO SANTIAGO RAFAEL,
801,,BATALLON DE COMUNICACIONES N. 1 RUMIAHUI,
802,,BATALLON DE INFANTERIA DE MARINA NO 12 ESMERALDAS,
803,,BATALLON DE INGENIEROS 67 MONTUFAR,
804,,BAYTEQ CIA. LTDA.,
805,,BAZANTE PITA VLADIMIR GERMAN,
806,,BAZAR CREDITOS GONZALEZ,
807,,BAZAR Y PAPELERIA KJ,
808,,BBBK ODONTOLOGIA,
809,,BC SERVICIOS CONTABLES Y TRIBUTARIOS,
810,,BCGLAW S.A.S,
811,,BEANALYTIC (ARENQUI S.A.),
812,,BECC CONSTRUCCIONES,
813,,BEDUCACION S.A.,
814,,BELTRAMO ALVAREZ CARLOS EDUARDO,
815,,BELTRAN FLANDOLI ANA MARIA,
816,,BELTRAN GUEVARA PATRICIA MARICELA,
817,,BENAVIDES ALEJANDRO JORGE DAVID,
818,,BENEMERITA UNIVERSIDAD DE PUEBLA,
819,,BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL,
820,,BENEMERITO CUERPO DE BOMBEROS VOLUNTARIOS DE CUENCA,
821,,BENITEZ CORREA CARMEN DELIA,
822,,BENITEZ HURTADO JORGE ALONSO,
823,,BERMAT-BERMEO MATAMOROS CIA. LTDA,
824,,BERMEO JARA DANNES ALBERTO,
825,,BEST PC SCC,
826,,BETTY SARANGO PALACIOS,
827,,BI 19 CARCHI,
828,,BIBIS PERFUMERIA,
829,,BIGBRANCH - INTERGRUPO,
830,,BIGBRANCH S.A,
831,,BILINGUAL CHRISTIAN ACADEMY,
832,,BIM ENGINEERING & CONSTRUCTION COMPANY S.A.S,
833,,BIMBO ECUADOR SA.,
834,,BINARIA SISTEMAS S.A.,
835,,BIO BAGS,
836,,BIO DEL LABORATORIOS SJPE C.A,
837,,BIO DEVICE C.A.,
838,,BIO-ELECTRONICA BLANCO BLANCOSA S.A.,
839,,BIOAMBIBNTE CIA. LTDA.,
840,,BIOCERT CONSULTORES AMBIENTALES,
841,,BIODIMED S.A.,
842,,BIOLOGO VICTOR ROMERO,
843,,BIOMAX,
844,,BIOMEDICAL LABORATORIOS CLINICOS,
845,,BIOMOL ECUADOR CIA. LTDA.,
846,,BIOSALMI ANIMAL NUTRITTION Y SMARTFEEDIND S. A,
847,,BIOSALUD CONSULTORIOS MEDICOS,
848,,BIOTAF,
849,,BLACIO MALDONADO RICARDO PATRICIO,
850,,BLACK ANGUS,
851,,BLACKBOARD,
852,,BLADIMIR KLEBER BENAVIDES BENALCAZAR,
853,,BLAUBACH CONSULTORES S.A.,
854,,BLOCK SECURITY SEGURIDAD S.A,
855,,BLOQUERA SALAZAR,
856,,BLUECARD ECUADOR S.A.,
857,,BMC MOTORS S.A,
858,,BOARD OF TRUSTEES OF THE ROYAL BOTANIC GARDENS,
859,,BODEGAS NPU CIA LTDA,
860,,BODEGAS NPV CIA LTDA.,
861,,BODEGAS R.G,
862,,BODY MASTER GYM,
863,,BOEX ESTUDIOS INTERNACIONALES,
864,,BOLETIN EL CONTADOR,
865,,BOLSA DE VALORES QUITO,
866,,BOMBEROS QUITO,
867,,BONILLA AVILES PAULA MILENA,
868,,BONILLA LOPEZ MARIA EUGENIA,
869,,BORJA ESPINOSA CIA. LTDA,
870,,BORLINFOODSERVICE CIA LTDA,
871,,BORRERO CAMPOZANO CARLOS OLMEDO,
872,,BPE ELECTRONIC CIA. LTDA.,
873,,BPOCENTER ANDINA C.A,
874,,BPOGLOBAL SERVICES S.A.,
875,,BRANDENBURG UNIVERSITY OF TECHNOLOGY COTTBUS - SENFTENBERG,
876,,BRASA Y LEA RESTAURANTE,
877,,BRASIL - ECUADOR ARQUITETCURA,
878,,BRAVO FEBRES THALIA JANNETH,
879,,BRAVO GONZALEZ MIGUEL EDUARDO,
880,,BRAVO MUOZ MARIA ALEJANDRA,
881,,BRAVO OJEDA CECILIA SOLEDAD,
882,,BRAVO SARMIENTO GUIDO ROLANDO,
883,,BRAVO TINIZARAY EDDY MANUEL (PARADOR TURISTICO EL RANCHO DE LA VACA),
884,,BRENZIL S.A.,
885,,BRICENO LUDENA RAMON EDUARDO,
886,,BRICEÑO SALAS JOHANNA PAOLA,
887,,BRICEO SARMIENTO TAMARA CRISTINA,
888,,BRICEO TACURI KATTY MICHELLE,
889,,BRIGADA DE CABALLERIA BLINDADA N 11 GALAPAGOS,
890,,BRIGADA DE INFANTERIA MOTORIZADA N° 1 EL ORO,
891,,BRIGADA DE INFANTERIA N° 13 PICHINCHA,
892,,BRITO CEVALLOS MAX PATRICIO,
893,,BRITOT,
894,,BRITOT CIA. LTDA.,
895,,BRIZUELA CAMACHO SOR NATALIA,
896,,BRUKER BIOSPIN GMBH,
897,,BRUNELLA S.A,
898,,BRYAN ESTEEVEN SUAREZ MONTERO,
899,,BS MULTISERVICIOS,
900,,BT SECURITY TECHNOLOGY S.A,
901,,BT TECHNOLOGY SOLUTIONS,
902,,BTL PROMOVENSA,
903,,BTSA CORP SOLU-TIONS C.A.,
904,,BUELE MALDONADO NORITA ANGELITA,
905,,BURBANO SALGADO MARIA VERONICA,
906,,BURNEO LOGISTICA CARGA INTERNACIONAL LOGISBUR S.A.,
907,,BUSINESS DATA ASESORIA LEGAL C.A,
908,,BUSINESS IT,
909,,BUSINESS IT (BEDUCACION S.A.),
910,,BUSINESS MODELING CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,
911,,BUSSINESS TRADING GROUP SERVICES,
912,,BUSTILLOS RONQUILLO HERNAN SERAFIN,
913,,BUSTOS MENDOZA MARIA FERNANDA (MINIMARKET EL GALAPAGUITO),
914,,BY ADDVALUE ASESORES CIA. LTDA.,
915,,BYLU SOFTWARE CIA. LTDA,
916,,BYRON FERNANDO BUSTAMANTE GRANDA,
917,,BYRON GUSTAVO JARAMILLO CAMPOVERDE,
918,,C.A. PRONACA,
919,,C.A. VIENNATONE & CIA.,
920,,C.E.I. MONSEÑOR BERNARDINO ECHEVERRIA RUIZ,
921,,C.E.T.A.D. FUENTE DE PAZ Y VIDA LA MANO DE DIOS,
922,,CAAR TELEVISION,
923,,CAAR TV,
924,,CABANILLA LEON JACQUELINE LEONTINA,
925,,CABLE MAGICO,
926,,CABRERA ESQUIVEL ANOTA LORENA,
927,,CABRERA GONZALEZ RITA GUADALUPE,
928,,CABRERA GUILLEN JOSE BOLIVAR,
929,,CABRERA JIMENEZ DIOGENES MANUEL,
930,,CABRERA LOAIZA VALERIA SOFIA,
931,,CACECA,
932,,CACEL,
933,,CACEP,
934,,CACPE BIBLIAN COOPERATIVA,
935,,CACPE BIBLIAN LTDA,
936,,CACPE CELICA,
937,,CACPE ZAMORA,
938,,CADENA AGREGA MARCELA,
939,,CADENA DE FARMACIAS CONTINENTAL,
940,,CADENA NARVAEZ JULIAN SALOMON,
941,,CAFE - RESTAURANT PERLA DORADA,
942,,CAFE DON VICTOR,
943,,CAFE MALACATOS,
944,,CAFETERIA CAFE ANDRE,
945,,CAFETERIA CAFE CON MIEL,
946,,CAFRILOSA,
947,,CAHERSA,
948,,CAIVINAGUA PACHAR JENNY MARICELA,
949,,CAIZAPANTA PURUNCAJA PACA MARISOL,
950,,CAJA COMUNAL LOS ENCUENTROS,
951,,CAJA DE AHORRO ALIANZA FAMILIAR,
952,,CAJA DE AHORRO ECOLOGICA SAN PEDRO DE VILCABAMBA,
953,,CAJA DE AHORRO Y CREDITO CRECIENDO JUNTOS,
954,,CAJA DE AHORRO Y CREDITO EL INGENIO,
955,,CAJA DE AHORRO Y CREDITO EL MANIZAL,
956,,CAJAS CORDOVA ANDREA KAROLINA,
957,,CALBAQ S. A.,
958,,CALCER S.A.,
959,,CALCETA TV,
960,,CALCOVIT,
961,,CALDERON MALDONADO OSMAN VICENTE,
962,,CALDERON VEGA NADIA EVELYN,
963,,CALENSEG CIA. LTDA.,
964,,CALIDAD EN BANANO BANACALI S.A,
965,,CALIFORNIAS INTERNACIONAL,
966,,CALL CONTACT CALL CONT,
967,,CALLE ARMIJOS DANIEL FERNANDO,
968,,CALLE CARRILLO DARWIN,
969,,CALLE HERRERA NELSON VINICIO,
970,,CALVA Y CALVA,
971,,CALVAS SERRANO KLEVIO BOLIVAR,
972,,CAMACHO MINUCHE GINA KARINA,
973,,CAMAL FRIGORIFICO LOJA S.A. CAFRILOSA,
974,,CAMARA DE COMERCIO DE AMBATO,
975,,CAMARA DE COMERCIO DE AZOGUES,
976,,CAMARA DE COMERCIO DE BABAHOYO,
977,,CAMARA DE COMERCIO DE GUAYAQUIL,
978,,CAMARA DE COMERCIO DE LOJA,
979,,CAMARA DE COMERCIO DE QUEVEDO,
980,,CAMARA DE COMERCIO DE QUITO,
981,,CAMARA DE COMERCIO DE ROCAFUERTE,
